customer_state,total_orders,on_time_rate,delay_rate
AL,397,78.59,21.41
MA,717,82.57,17.43
SE,335,84.78,15.22
PI,476,86.13,13.87
CE,1279,86.24,13.76
RR,41,87.80,12.20
BA,3256,87.84,12.16
RJ,12350,87.89,12.11
PA,946,88.79,11.21
ES,1995,89.27,10.73
PB,517,89.56,10.44
TO,274,90.15,9.85
MS,701,90.30,9.70
PE,1593,90.40,9.60
RN,474,90.72,9.28
SC,3546,91.79,8.21
GO,1957,93.46,6.54
RS,5344,93.92,6.08
MT,886,94.02,5.98
DF,2080,94.33,5.67
MG,11354,95.43,4.57
SP,40494,95.51,4.49
PR,4923,95.96,4.04
AC,80,96.25,3.75
AP,67,97.01,2.99
RO,243,97.12,2.88
AM,145,97.24,2.76
